asset_id,name,make,model,year,status,billable,asset_type,purchase_price
ASSET-001,Excavator Alpha,Caterpillar,320E,2021,Active,Yes,Excavator,285000
ASSET-002,Dozer Beta,Komatsu,D65EX,2020,Active,Yes,Bulldozer,320000
ASSET-003,Loader Gamma,John Deere,644L,2022,Active,Yes,Wheel Loader,245000
ASSET-004,Crane Delta,Liebherr,LTM1090,2019,Active,Yes,Mobile Crane,850000
ASSET-005,Forklift Epsilon,Toyota,8FGU25,2023,Active,Yes,Forklift,45000
ASSET-006,Excavator Zeta,Caterpillar,336F,2020,Maintenance,Yes,Excavator,310000
ASSET-007,Backhoe Eta,Case,580N,2021,Active,No,Backhoe,95000
ASSET-008,Skid Steer Theta,Bobcat,S650,2022,Active,Yes,Skid Steer,52000
ASSET-009,Grader Iota,Caterpillar,140M,2019,Active,Yes,Motor Grader,425000
ASSET-010,Compactor Kappa,Bomag,BW213D,2023,Active,Yes,Compactor,78000
ASSET-011,Dump Truck Lambda,Volvo,A40G,2020,Inactive,No,Articulated Truck,380000
ASSET-012,Bulldozer Mu,John Deere,850L,2021,Active,Yes,Bulldozer,290000
ASSET-013,Excavator Nu,Hitachi,ZX350,2022,Active,Yes,Excavator,295000
ASSET-014,Loader Xi,Volvo,L120H,2019,Active,Yes,Wheel Loader,265000
ASSET-015,Crane Omicron,Tadano,GR1000XL,2023,Active,Yes,Mobile Crane,920000
ASSET-016,Forklift Pi,Hyster,H80FT,2020,Maintenance,Yes,Forklift,48000
ASSET-017,Roller Rho,Caterpillar,CS56B,2021,Active,Yes,Road Roller,125000
ASSET-018,Telehandler Sigma,JCB,540-170,2022,Active,Yes,Telehandler,85000
ASSET-019,Excavator Tau,Komatsu,PC360,2019,Active,Yes,Excavator,305000
ASSET-020,Generator Upsilon,Generac,MDG300,2023,Active,No,Generator,35000
ASSET-021,Excavator Phi,Caterpillar,320,2020,Active,Yes,Excavator,275000
ASSET-022,Loader Chi,Komatsu,WA380,2021,Active,Yes,Wheel Loader,255000
ASSET-023,Dozer Psi,John Deere,750K,2019,Active,Yes,Bulldozer,280000
ASSET-024,Crane Omega,Liebherr,LTM1100,2022,Active,Yes,Mobile Crane,880000
ASSET-025,Forklift Alpha-2,Toyota,8FGU30,2023,Active,Yes,Forklift,47000
ASSET-026,Backhoe Beta-2,Case,590SN,2020,Active,Yes,Backhoe,98000
ASSET-027,Skid Steer Gamma-2,Bobcat,S570,2021,Active,Yes,Skid Steer,49000
ASSET-028,Grader Delta-2,Caterpillar,12M,2022,Active,Yes,Motor Grader,395000
ASSET-029,Compactor Epsilon-2,Bomag,BW177D,2019,Maintenance,Yes,Compactor,72000
ASSET-030,Truck Zeta-2,Volvo,A30G,2023,Active,Yes,Articulated Truck,350000
ASSET-031,Excavator Eta-2,Hitachi,ZX290,2020,Active,Yes,Excavator,265000
ASSET-032,Loader Theta-2,John Deere,624L,2021,Active,Yes,Wheel Loader,235000
ASSET-033,Bulldozer Iota-2,Komatsu,D51PX,2022,Active,Yes,Bulldozer,270000
ASSET-034,Crane Kappa-2,Tadano,GR800XL,2019,Active,Yes,Mobile Crane,780000
ASSET-035,Roller Lambda-2,Caterpillar,CS44B,2023,Active,Yes,Road Roller,115000
ASSET-036,Telehandler Mu-2,JCB,535-140,2020,Active,Yes,Telehandler,78000
ASSET-037,Generator Nu-2,Generac,MDG250,2021,Active,No,Generator,32000
ASSET-038,Excavator Xi-2,Caterpillar,330F,2022,Active,Yes,Excavator,285000
ASSET-039,Forklift Omicron-2,Hyster,H70FT,2019,Active,Yes,Forklift,44000
ASSET-040,Loader Pi-2,Volvo,L110H,2023,Active,Yes,Wheel Loader,250000
ASSET-041,Dozer Rho-2,John Deere,850K,2020,Maintenance,Yes,Bulldozer,285000
ASSET-042,Crane Sigma-2,Liebherr,LTM1095,2021,Active,Yes,Mobile Crane,860000
ASSET-043,Backhoe Tau-2,Case,580M,2022,Active,Yes,Backhoe,92000
ASSET-044,Skid Steer Upsilon-2,Bobcat,S630,2019,Active,Yes,Skid Steer,50000
